行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分
超市,-3.4861540900298844,-0.6726583039090795,4.241142857142857,4.4423006070437365,0.6063372893478913,-6.589516551861174,1.0,1,2350164350.0,7,0.2663167039191745,退潮,右上加速,56.7
汽车综合服务,-0.0792497634660827,-0.9483511550679588,4.9645,2.959581797553512,0.2441664562596424,0.7395626268234645,0.75,1,762466299.0,4,2.566043257798352,退潮,右下降温,56.6
水泥制造,-1.4492650683004982,1.2824875609665347,2.1212857142857144,0.7672832791382866,-0.9158922604059372,-4.579982783746795,0.9285714285714286,0,3076475401.0,14,0.13321344525687673,修复,左上修复,56.4
地面兵装Ⅱ,0.6621747232735897,-0.4530954455383404,1.8505,3.185846627924982,1.3190442583705275,-3.0729126401150664,0.8333333333333334,0,5959259486.0,12,0.16179084921560105,走弱,右上加速,56.3
社会服务,-4.492705417958423,0.45163596071681217,3.361511111111111,2.2137439090373467,-0.6382026700165411,-7.308187957839529,0.8444444444444444,3,9119022647.0,45,1.5768610353190993,修复,右上加速,56.3
金属包装,-0.09550197842480197,1.4548925809316673,2.4014285714285712,1.096725282559774,-1.0344568615338945,-1.8891072090853278,0.8571428571428571,0,1811316988.0,7,0.05457623245194232,修复,左下退潮,56.2
食品饮料,-2.7214306917041227,1.1550947910734968,2.782025641025641,1.685042670008352,-1.3549850080978865,-5.221814329396635,0.9230769230769231,1,6346912186.0,39,0.1567011140092156,修复,右上加速,55.7
光伏发电,-4.336365091151232,2.444542135973863,1.2386923076923078,3.322831615213895,0.8407499694019771,-7.752779964378043,0.8461538461538461,0,5891290103.0,13,0.067920606416777,修复,右上加速,55.6
商用车,-4.808145796427969,1.0285697178039275,4.2552,3.586522493565436,-0.1799305340164259,-5.85885456764067,1.0,0,1315035105.0,5,0.17690325943758833,修复,右上加速,55.3
房地产综合服务,-4.8923439294240145,1.666051320544274,1.993,1.6523649005230068,-0.6545389511476873,-8.632880187352365,1.0,0,68652013.0,1,0.1043451511175375,修复,右上加速,55.2
肉制品,-0.3812290919933477,-0.7788532509474421,5.027857142857143,1.2879431360893312,-0.7222231712719629,-3.491937059116035,1.0,1,1727320445.0,7,-0.09568627112101558,退潮,左下退潮,55.2
其他化学原料,1.466635201560177,-0.009944396814871434,4.688823529411764,2.2552882759199866,-2.5593222441034458,-0.9051333630408886,0.9411764705882353,1,7448886183.0,17,0.18782240548339324,走弱,左下退潮,55.2
跨境物流,-5.099802850721872,0.5604740994853,4.166384615384615,3.1409348008488713,-0.5941441996235253,-7.646078769094633,1.0,0,1210799866.0,13,0.5555502315819487,修复,右上加速,54.4
厨房小家电,-3.1605111757104343,0.2788257239954753,3.2155,3.5407231010700535,-0.1524911416630248,-5.295661595152312,0.9,1,600570122.0,10,-0.08419333779613314,修复,右上加速,53.6
