行业名称,类型,排名,股票名称,代码,数值,展示
其他农产品加工,核心中军,1,中粮糖业,600737,425442523.0,中粮糖业 4.3亿
其他农产品加工,核心中军,2,祖名股份,003030,138143030.0,祖名股份 1.4亿
其他农产品加工,核心中军,3,晨光生物,300138,111137761.0,晨光生物 1.1亿
其他化学制品,1日先锋,1,先锋新材,300163,15.92,先锋新材 +15.9%
其他化学制品,1日先锋,2,新瀚新材,301076,6.401,新瀚新材 +6.4%
其他化学制品,1日先锋,3,万德股份,920519,3.888,万德股份 +3.9%
其他化学制品,3日动能,1,和远气体,002971,15.387096774193566,和远气体 +15.4%
其他化学制品,3日动能,2,新化股份,603867,11.048074051955803,新化股份 +11.0%
其他化学制品,3日动能,3,丽臣实业,001218,9.338168631006361,丽臣实业 +9.3%
其他化学制品,5日趋势,1,兴欣新材,001358,17.08996986655187,兴欣新材 +17.1%
其他化学制品,5日趋势,2,肯特催化,603120,11.899179366940228,肯特催化 +11.9%
其他化学制品,5日趋势,3,建业股份,603948,9.189189189189184,建业股份 +9.2%
其他化学制品,核心中军,1,和远气体,002971,2632048194.0,和远气体 26.3亿
其他化学制品,核心中军,2,凯美特气,002549,1742541966.0,凯美特气 17.4亿
其他化学制品,核心中军,3,杭氧股份,002430,1228588892.0,杭氧股份 12.3亿
其他化学原料,1日先锋,1,兴化股份,002109,4.887,兴化股份 +4.9%
其他化学原料,1日先锋,2,金能科技,603113,1.887,金能科技 +1.9%
其他化学原料,1日先锋,3,迪尔化工,920304,1.399,迪尔化工 +1.4%
其他化学原料,3日动能,1,兴化股份,002109,15.767634854771773,兴化股份 +15.8%
其他化学原料,3日动能,2,维远股份,600955,7.404891304347827,维远股份 +7.4%
其他化学原料,3日动能,3,华尔泰,001217,6.761565836298944,华尔泰 +6.8%
其他化学原料,5日趋势,1,兴化股份,002109,17.721518987341778,兴化股份 +17.7%
其他化学原料,5日趋势,2,华尔泰,001217,4.408352668213467,华尔泰 +4.4%
其他化学原料,5日趋势,3,三维化学,002469,3.3509700176366897,三维化学 +3.4%
其他化学原料,核心中军,1,卫星化学,002648,2148851830.0,卫星化学 21.5亿
其他化学原料,核心中军,2,三孚股份,603938,1777892892.0,三孚股份 17.8亿
其他化学原料,核心中军,3,凯盛新材,301069,355061127.0,凯盛新材 3.6亿
其他医疗服务,1日先锋,1,润达医疗,603108,2.151,润达医疗 +2.2%
其他医疗服务,1日先锋,2,诺禾致源,688315,1.901,诺禾致源 +1.9%
其他医疗服务,1日先锋,3,数字人,920670,-0.365,数字人 -0.4%
其他医疗服务,3日动能,1,润达医疗,603108,6.741573033707859,润达医疗 +6.7%
其他医疗服务,3日动能,2,合富中国,603122,4.744525547445244,合富中国 +4.7%
其他医疗服务,3日动能,3,数字人,920670,0.0,数字人 +0.0%
其他医疗服务,5日趋势,1,合富中国,603122,6.296296296296289,合富中国 +6.3%
其他医疗服务,5日趋势,2,润达医疗,603108,4.052573932091996,润达医疗 +4.1%
其他医疗服务,5日趋势,3,数字人,920670,0.0,数字人 +0.0%
其他医疗服务,核心中军,1,合富中国,603122,184295971.0,合富中国 1.8亿
其他医疗服务,核心中军,2,润达医疗,603108,181741408.0,润达医疗 1.8亿
其他医疗服务,核心中军,3,诺禾致源,688315,48252962.0,诺禾致源 0.5亿
其他家电Ⅱ,1日先锋,1,荣泰健康,603579,4.079,荣泰健康 +4.1%
其他家电Ⅱ,1日先锋,2,奥佳华,002614,1.754,奥佳华 +1.8%
其他家电Ⅱ,1日先锋,3,融捷健康,300247,1.596,融捷健康 +1.6%
其他家电Ⅱ,3日动能,1,荣泰健康,603579,11.25515615792576,荣泰健康 +11.3%
